observation,video_name,avg_predicted_score,avg_mos_1_to_5,total_inference_time,runs
1,basketball_1080p_001_base_QP_20_G1_QP_10_G2_QP_20_res_1920x1080.mp4,81.4375,4.25,3.4193,1
2,basketball_1080p_001_base_QP_30_G1_QP_30_G2_QP_30_res_960x540.mp4,61.6562,3.4508,0.9412,1
3,basketball_1080p_001_base_QP_40_G1_QP_40_G2_QP_40_res_960x540.mp4,5.8242,1.1949,0.9465,1
4,basketball_1080p_002_base_QP_35_G1_QP_35_G2_QP_35_res_1920x1080.mp4,54.6562,3.1679,2.732,1
5,basketball_1080p_002_base_QP_40_G1_QP_30_G2_QP_40_res_960x540.mp4,45.8438,2.8119,0.9337,1
6,basketball_1080p_002_base_QP_45_G1_QP_45_G2_QP_25_res_1920x1080.mp4,72.375,3.8838,2.7496,1
7,football_1080p_009_base_QP_30_G1_QP_30_G2_QP_30_res_960x540.mp4,44.5,2.7576,0.9262,1
8,football_1080p_009_base_QP_40_G1_QP_20_G2_QP_40_res_1920x1080.mp4,55.6875,3.2096,2.8109,1
9,football_1080p_009_base_QP_40_G1_QP_30_G2_QP_40_res_960x540.mp4,19.9688,1.7664,0.947,1
10,scoccer_2160p_001_base_QP_20_G1_QP_0_G2_QP_20_res_960x540.mp4,72.75,3.899,1.2133,1
11,scoccer_2160p_001_base_QP_25_G1_QP_5_G2_QP_25_res_1920x1080.mp4,79.5625,4.1742,2.9181,1
12,scoccer_2160p_003_base_QP_25_G1_QP_25_G2_QP_5_res_1920x1080.mp4,85.0625,4.3965,5.474,1
13,scoccer_2160p_003_base_QP_30_G1_QP_30_G2_QP_30_res_960x540.mp4,59.2188,3.3523,1.11,1
14,scoccer_2160p_003_base_QP_35_G1_QP_35_G2_QP_15_res_1920x1080.mp4,83.3125,4.3258,4.0649,1
15,scoccer_2160p_003_base_QP_45_G1_QP_35_G2_QP_45_res_1920x1080.mp4,21.0156,1.8087,2.8163,1
16,basketball_1080p_001_base_QP_30_G1_QP_20_G2_QP_30_res_960x540.mp4,63.6875,3.5328,0.9638,1
17,basketball_1080p_001_base_QP_35_G1_QP_15_G2_QP_35_res_1920x1080.mp4,72.5625,3.8914,2.7915,1
18,basketball_1080p_001_base_QP_45_G1_QP_30_res_1920x1080.mp4,16.9844,1.6458,2.8197,1
19,basketball_1080p_002_base_QP_30_G1_QP_20_G2_QP_30_res_960x540.mp4,74.1875,3.9571,0.9688,1
20,basketball_1080p_002_base_QP_45_G1_QP_25_G2_QP_45_res_1920x1080.mp4,62.6875,3.4924,2.7908,1
21,football_1080p_002_base_QP_40_G1_QP_20_G2_QP_40_res_960x540.mp4,67.5625,3.6894,0.9508,1
22,football_1080p_002_base_QP_40_G1_QP_30_G2_QP_40_res_960x540.mp4,45.625,2.803,0.9397,1
23,football_1080p_002_base_QP_40_G1_QP_40_G2_QP_20_res_1920x1080.mp4,67.1875,3.6742,2.8349,1
24,football_1080p_002_base_QP_45_G1_QP_30_res_1920x1080.mp4,26.3906,2.0259,2.7767,1
25,football_1080p_009_base_QP_30_G1_QP_30_G2_QP_10_res_1920x1080.mp4,82.25,4.2828,3.4219,1
26,football_1080p_009_base_QP_40_G1_QP_30_G2_QP_40_res_1920x1080.mp4,46.5938,2.8422,2.7288,1
27,football_1080p_009_base_QP_45_G1_QP_25_G2_QP_45_res_1920x1080.mp4,19.6094,1.7519,2.7742,1
28,football_1080p_009_base_QP_45_G1_QP_45_G2_QP_35_res_1920x1080.mp4,51.5312,3.0417,2.7193,1
29,scoccer_2160p_001_base_QP_40_G1_QP_40_G2_QP_40_res_960x540.mp4,4.5898,1.145,0.9563,1
30,scoccer_2160p_003_base_QP_35_G1_QP_15_G2_QP_35_res_1920x1080.mp4,74.25,3.9596,3.1208,1
31,scoccer_2160p_003_base_QP_45_G1_QP_30_res_1920x1080.mp4,23.3281,1.9021,2.7682,1
