observation,video_name,avg_predicted_score,avg_mos_1_to_5,total_inference_time,runs
1,basketball_1080p_001_base_QP_20_G1_QP_10_G2_QP_20_res_1920x1080.mp4,81.8625,4.2672,15.1192,5
2,basketball_1080p_001_base_QP_30_G1_QP_30_G2_QP_30_res_960x540.mp4,61.9375,3.4621,4.7246,5
3,basketball_1080p_001_base_QP_40_G1_QP_40_G2_QP_40_res_960x540.mp4,5.8469,1.1958,4.7306,5
4,basketball_1080p_002_base_QP_35_G1_QP_35_G2_QP_35_res_1920x1080.mp4,54.6187,3.1664,13.7927,5
5,basketball_1080p_002_base_QP_40_G1_QP_30_G2_QP_40_res_960x540.mp4,43.4625,2.7157,4.8407,5
6,basketball_1080p_002_base_QP_45_G1_QP_45_G2_QP_25_res_1920x1080.mp4,71.5875,3.852,14.0593,5
7,football_1080p_009_base_QP_30_G1_QP_30_G2_QP_30_res_960x540.mp4,47.35,2.8727,4.717,5
8,football_1080p_009_base_QP_40_G1_QP_20_G2_QP_40_res_1920x1080.mp4,56.625,3.2475,13.6709,5
9,football_1080p_009_base_QP_40_G1_QP_30_G2_QP_40_res_960x540.mp4,15.9984,1.606,4.6983,5
10,scoccer_2160p_001_base_QP_20_G1_QP_0_G2_QP_20_res_960x540.mp4,75.15,3.996,6.1365,5
11,scoccer_2160p_001_base_QP_25_G1_QP_5_G2_QP_25_res_1920x1080.mp4,78.3,4.1232,14.6764,5
12,scoccer_2160p_003_base_QP_25_G1_QP_25_G2_QP_5_res_1920x1080.mp4,84.1875,4.3611,27.3946,5
13,scoccer_2160p_003_base_QP_30_G1_QP_30_G2_QP_30_res_960x540.mp4,60.075,3.3869,5.6389,5
14,scoccer_2160p_003_base_QP_35_G1_QP_35_G2_QP_15_res_1920x1080.mp4,84.575,4.3768,20.4759,5
15,scoccer_2160p_003_base_QP_45_G1_QP_35_G2_QP_45_res_1920x1080.mp4,24.3656,1.9441,14.0705,5
16,basketball_1080p_001_base_QP_30_G1_QP_20_G2_QP_30_res_960x540.mp4,64.6188,3.5705,4.8213,5
17,basketball_1080p_001_base_QP_35_G1_QP_15_G2_QP_35_res_1920x1080.mp4,72.225,3.8778,13.9211,5
18,basketball_1080p_001_base_QP_45_G1_QP_30_res_1920x1080.mp4,28.1844,2.0984,13.8182,5
19,basketball_1080p_002_base_QP_30_G1_QP_20_G2_QP_30_res_960x540.mp4,74.1625,3.9561,4.9865,5
20,basketball_1080p_002_base_QP_45_G1_QP_25_G2_QP_45_res_1920x1080.mp4,65.9938,3.626,13.9081,5
21,football_1080p_002_base_QP_40_G1_QP_20_G2_QP_40_res_960x540.mp4,65.0375,3.5874,4.8048,5
22,football_1080p_002_base_QP_40_G1_QP_30_G2_QP_40_res_960x540.mp4,51.725,3.0495,4.7934,5
23,football_1080p_002_base_QP_40_G1_QP_40_G2_QP_20_res_1920x1080.mp4,66.3875,3.6419,13.8697,5
24,football_1080p_002_base_QP_45_G1_QP_30_res_1920x1080.mp4,31.2063,2.2205,13.8306,5
25,football_1080p_009_base_QP_30_G1_QP_30_G2_QP_10_res_1920x1080.mp4,82.15,4.2788,17.1937,5
26,football_1080p_009_base_QP_40_G1_QP_30_G2_QP_40_res_1920x1080.mp4,40.3,2.5879,13.6682,5
27,football_1080p_009_base_QP_45_G1_QP_25_G2_QP_45_res_1920x1080.mp4,19.6844,1.7549,13.8224,5
28,football_1080p_009_base_QP_45_G1_QP_45_G2_QP_35_res_1920x1080.mp4,44.3125,2.75,13.6955,5
29,scoccer_2160p_001_base_QP_40_G1_QP_40_G2_QP_40_res_960x540.mp4,4.65,1.1475,4.9311,5
30,scoccer_2160p_003_base_QP_35_G1_QP_15_G2_QP_35_res_1920x1080.mp4,71.7125,3.8571,15.6347,5
31,scoccer_2160p_003_base_QP_45_G1_QP_30_res_1920x1080.mp4,22.1906,1.8562,14.1271,5
