eval_loop,video_name,AverageScore,mos_1_to_5,inference_time,passes_per_vid
1,basketball_1080p_001_base_QP_20_G1_QP_10_G2_QP_20_res_1920x1080.mp4,80.0,4.1919,1.8889,1
1,basketball_1080p_001_base_QP_30_G1_QP_30_G2_QP_30_res_960x540.mp4,56.0938,3.226,0.7387,1
1,basketball_1080p_001_base_QP_40_G1_QP_40_G2_QP_40_res_960x540.mp4,18.3438,1.7008,0.7283,1
1,basketball_1080p_002_base_QP_35_G1_QP_35_G2_QP_35_res_1920x1080.mp4,64.875,3.5808,1.3317,1
1,basketball_1080p_002_base_QP_40_G1_QP_30_G2_QP_40_res_960x540.mp4,53.25,3.1111,0.7282,1
1,basketball_1080p_002_base_QP_45_G1_QP_45_G2_QP_25_res_1920x1080.mp4,73.625,3.9343,1.408,1
1,football_1080p_009_base_QP_30_G1_QP_30_G2_QP_30_res_960x540.mp4,57.3125,3.2753,0.7373,1
1,football_1080p_009_base_QP_40_G1_QP_20_G2_QP_40_res_1920x1080.mp4,44.75,2.7677,1.3013,1
1,football_1080p_009_base_QP_40_G1_QP_30_G2_QP_40_res_960x540.mp4,27.0625,2.053,0.7188,1
1,scoccer_2160p_001_base_QP_20_G1_QP_0_G2_QP_20_res_960x540.mp4,76.875,4.0657,1.0128,1
1,scoccer_2160p_001_base_QP_25_G1_QP_5_G2_QP_25_res_1920x1080.mp4,85.0,4.3939,1.478,1
1,scoccer_2160p_003_base_QP_25_G1_QP_25_G2_QP_5_res_1920x1080.mp4,86.625,4.4596,4.0737,1
1,scoccer_2160p_003_base_QP_30_G1_QP_30_G2_QP_30_res_960x540.mp4,64.125,3.5505,0.8709,1
1,scoccer_2160p_003_base_QP_35_G1_QP_35_G2_QP_15_res_1920x1080.mp4,86.625,4.4596,2.6479,1
1,scoccer_2160p_003_base_QP_45_G1_QP_35_G2_QP_45_res_1920x1080.mp4,27.1094,2.0549,1.3617,1
1,basketball_1080p_001_base_QP_30_G1_QP_20_G2_QP_30_res_960x540.mp4,61.7188,3.4533,0.7315,1
1,basketball_1080p_001_base_QP_35_G1_QP_15_G2_QP_35_res_1920x1080.mp4,79.625,4.1768,1.3462,1
1,basketball_1080p_001_base_QP_45_G1_QP_30_res_1920x1080.mp4,39.125,2.5404,1.304,1
1,basketball_1080p_002_base_QP_30_G1_QP_20_G2_QP_30_res_960x540.mp4,71.375,3.8434,0.754,1
1,basketball_1080p_002_base_QP_45_G1_QP_25_G2_QP_45_res_1920x1080.mp4,69.6875,3.7753,1.3609,1
1,football_1080p_002_base_QP_40_G1_QP_20_G2_QP_40_res_960x540.mp4,70.6875,3.8157,0.7451,1
1,football_1080p_002_base_QP_40_G1_QP_30_G2_QP_40_res_960x540.mp4,59.8438,3.3775,0.7338,1
1,football_1080p_002_base_QP_40_G1_QP_40_G2_QP_20_res_1920x1080.mp4,77.5,4.0909,1.3811,1
1,football_1080p_002_base_QP_45_G1_QP_30_res_1920x1080.mp4,38.7812,2.5265,1.3122,1
1,football_1080p_009_base_QP_30_G1_QP_30_G2_QP_10_res_1920x1080.mp4,82.0625,4.2753,1.9559,1
1,football_1080p_009_base_QP_40_G1_QP_30_G2_QP_40_res_1920x1080.mp4,44.5312,2.7588,1.2866,1
1,football_1080p_009_base_QP_45_G1_QP_25_G2_QP_45_res_1920x1080.mp4,32.625,2.2778,1.3004,1
1,football_1080p_009_base_QP_45_G1_QP_45_G2_QP_35_res_1920x1080.mp4,54.4375,3.1591,1.3008,1
1,scoccer_2160p_001_base_QP_40_G1_QP_40_G2_QP_40_res_960x540.mp4,20.8281,1.8011,0.7462,1
1,scoccer_2160p_003_base_QP_35_G1_QP_15_G2_QP_35_res_1920x1080.mp4,68.125,3.7121,1.6486,1
1,scoccer_2160p_003_base_QP_45_G1_QP_30_res_1920x1080.mp4,24.0625,1.9318,1.3511,1
2,basketball_1080p_001_base_QP_20_G1_QP_10_G2_QP_20_res_1920x1080.mp4,79.625,4.1768,1.4711,1
2,basketball_1080p_001_base_QP_30_G1_QP_30_G2_QP_30_res_960x540.mp4,55.1562,3.1881,0.7314,1
2,basketball_1080p_001_base_QP_40_G1_QP_40_G2_QP_40_res_960x540.mp4,19.1875,1.7348,0.7243,1
2,basketball_1080p_002_base_QP_35_G1_QP_35_G2_QP_35_res_1920x1080.mp4,64.75,3.5758,1.3258,1
2,basketball_1080p_002_base_QP_40_G1_QP_30_G2_QP_40_res_960x540.mp4,47.9375,2.8965,0.7426,1
2,basketball_1080p_002_base_QP_45_G1_QP_45_G2_QP_25_res_1920x1080.mp4,73.875,3.9444,1.3279,1
2,football_1080p_009_base_QP_30_G1_QP_30_G2_QP_30_res_960x540.mp4,62.5,3.4848,0.7356,1
2,football_1080p_009_base_QP_40_G1_QP_20_G2_QP_40_res_1920x1080.mp4,43.1875,2.7045,1.3019,1
2,football_1080p_009_base_QP_40_G1_QP_30_G2_QP_40_res_960x540.mp4,25.2812,1.9811,0.7212,1
2,scoccer_2160p_001_base_QP_20_G1_QP_0_G2_QP_20_res_960x540.mp4,81.0,4.2323,1.0101,1
2,scoccer_2160p_001_base_QP_25_G1_QP_5_G2_QP_25_res_1920x1080.mp4,84.4375,4.3712,1.4965,1
2,scoccer_2160p_003_base_QP_25_G1_QP_25_G2_QP_5_res_1920x1080.mp4,87.8125,4.5076,4.0708,1
2,scoccer_2160p_003_base_QP_30_G1_QP_30_G2_QP_30_res_960x540.mp4,63.0938,3.5088,0.8851,1
2,scoccer_2160p_003_base_QP_35_G1_QP_35_G2_QP_15_res_1920x1080.mp4,87.75,4.5051,2.6438,1
2,scoccer_2160p_003_base_QP_45_G1_QP_35_G2_QP_45_res_1920x1080.mp4,28.1406,2.0966,1.3489,1
2,basketball_1080p_001_base_QP_30_G1_QP_20_G2_QP_30_res_960x540.mp4,60.25,3.3939,0.7419,1
2,basketball_1080p_001_base_QP_35_G1_QP_15_G2_QP_35_res_1920x1080.mp4,69.6875,3.7753,1.3251,1
2,basketball_1080p_001_base_QP_45_G1_QP_30_res_1920x1080.mp4,35.875,2.4091,1.317,1
2,basketball_1080p_002_base_QP_30_G1_QP_20_G2_QP_30_res_960x540.mp4,70.9375,3.8258,0.7716,1
