observation,video_name,avg_predicted_score,avg_mos_1_to_5,total_inference_time,runs
1,basketball_1080p_001_base_QP_20_G1_QP_10_G2_QP_20_res_1920x1080.mp4,81.9375,4.2702,1.8864,1
2,basketball_1080p_001_base_QP_30_G1_QP_30_G2_QP_30_res_960x540.mp4,60.5938,3.4078,0.6981,1
3,basketball_1080p_001_base_QP_40_G1_QP_40_G2_QP_40_res_960x540.mp4,19.1719,1.7342,0.6899,1
4,basketball_1080p_002_base_QP_35_G1_QP_35_G2_QP_35_res_1920x1080.mp4,66.9375,3.6641,1.2597,1
5,basketball_1080p_002_base_QP_40_G1_QP_30_G2_QP_40_res_960x540.mp4,49.8438,2.9735,0.6968,1
6,basketball_1080p_002_base_QP_45_G1_QP_45_G2_QP_25_res_1920x1080.mp4,74.625,3.9747,1.2924,1
7,football_1080p_009_base_QP_30_G1_QP_30_G2_QP_30_res_960x540.mp4,56.2812,3.2336,0.6954,1
8,football_1080p_009_base_QP_40_G1_QP_20_G2_QP_40_res_1920x1080.mp4,45.7188,2.8068,1.2376,1
9,football_1080p_009_base_QP_40_G1_QP_30_G2_QP_40_res_960x540.mp4,26.5938,2.0341,0.6898,1
10,scoccer_2160p_001_base_QP_20_G1_QP_0_G2_QP_20_res_960x540.mp4,81.0,4.2323,0.9819,1
11,scoccer_2160p_001_base_QP_25_G1_QP_5_G2_QP_25_res_1920x1080.mp4,84.3125,4.3662,1.4939,1
12,scoccer_2160p_003_base_QP_25_G1_QP_25_G2_QP_5_res_1920x1080.mp4,85.3125,4.4066,3.974,1
13,scoccer_2160p_003_base_QP_30_G1_QP_30_G2_QP_30_res_960x540.mp4,64.6875,3.5732,0.8712,1
14,scoccer_2160p_003_base_QP_35_G1_QP_35_G2_QP_15_res_1920x1080.mp4,87.6875,4.5025,2.5862,1
15,scoccer_2160p_003_base_QP_45_G1_QP_35_G2_QP_45_res_1920x1080.mp4,34.0938,2.3371,1.3235,1
16,basketball_1080p_001_base_QP_30_G1_QP_20_G2_QP_30_res_960x540.mp4,58.6875,3.3308,0.7136,1
17,basketball_1080p_001_base_QP_35_G1_QP_15_G2_QP_35_res_1920x1080.mp4,78.5,4.1313,1.2669,1
18,basketball_1080p_001_base_QP_45_G1_QP_30_res_1920x1080.mp4,38.5312,2.5164,1.2551,1
19,basketball_1080p_002_base_QP_30_G1_QP_20_G2_QP_30_res_960x540.mp4,70.8125,3.8207,0.7178,1
20,basketball_1080p_002_base_QP_45_G1_QP_25_G2_QP_45_res_1920x1080.mp4,67.4375,3.6843,1.2802,1
21,football_1080p_002_base_QP_40_G1_QP_20_G2_QP_40_res_960x540.mp4,69.5625,3.7702,0.6919,1
22,football_1080p_002_base_QP_40_G1_QP_30_G2_QP_40_res_960x540.mp4,57.3438,3.2765,0.7133,1
23,football_1080p_002_base_QP_40_G1_QP_40_G2_QP_20_res_1920x1080.mp4,78.0,4.1111,1.273,1
24,football_1080p_002_base_QP_45_G1_QP_30_res_1920x1080.mp4,35.4062,2.3902,1.2796,1
25,football_1080p_009_base_QP_30_G1_QP_30_G2_QP_10_res_1920x1080.mp4,82.0625,4.2753,1.9028,1
26,football_1080p_009_base_QP_40_G1_QP_30_G2_QP_40_res_1920x1080.mp4,42.5,2.6768,1.2273,1
27,football_1080p_009_base_QP_45_G1_QP_25_G2_QP_45_res_1920x1080.mp4,30.8594,2.2064,1.2562,1
28,football_1080p_009_base_QP_45_G1_QP_45_G2_QP_35_res_1920x1080.mp4,48.5938,2.923,1.2291,1
29,scoccer_2160p_001_base_QP_40_G1_QP_40_G2_QP_40_res_960x540.mp4,21.0938,1.8119,0.7109,1
30,scoccer_2160p_003_base_QP_35_G1_QP_15_G2_QP_35_res_1920x1080.mp4,68.3125,3.7197,1.5972,1
31,scoccer_2160p_003_base_QP_45_G1_QP_30_res_1920x1080.mp4,25.7188,1.9987,1.3256,1
